query,title,price,shipping_time,variable_prod,returns,shipping_price,ebay_article_id,prod_url,ebay_vendor,seller_votes,category,payment_methods,product_state,product_sold_out_text,served_area,reviews
tv 49 pulgadas,Altavoces 49 pulgadas TV LG 49UH610V 49UF6400,"16,21 EUR",vie. 9 jul. y el lun. 23 ago. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","15,69 EUR",153952494468,https://www.ebay.es/itm/153952494468?hash=item23d848a384%3Ag%3AlLcAAOSw4MBe0YLd&LH_BIN=1,alsager5714,3063,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			Todo el mundo,
tv 49 pulgadas,TV grande caja de cartón almacenamiento transporte de pantalla plana de envío embalaje 4 Tamaños,"22,07 EUR",mié. 7 jul. y el vie. 23 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 14 días, el comprador paga los gastos de envío de la devolución","17,43 EUR",363270971321,https://www.ebay.es/itm/363270971321?_trkparms=ispr%3D1&hash=item5494a31fb9%3Ag%3Aj60AAOSwAQ5gFpIe&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY06szbw32VBOvV69eOZ4QiIvNETjdz1P%252BX5jXEkQnJlfMuQv21bTHoU%252FLrp3OwOFZcIImhuJg8UogLC%252Ft2a9YeaA0raKi4pYkuH%252BgJIM0Hz%252BB7JWqbQL6wxwVGBIgrDNeOW%252FRVJsEZOaMLAHoAivRpI2%252Fi%252FbaGUqytJ6yf%252F94ykRWH6ZmBcLIEhcgxlU%252Bpja0cjjbV1y0mhUfvpXGFPEYFYLwNgiklSIuoq3rhuaVB83n4oTcqc3FgDBAwtiKwogT9XoX0D7c3JuG89lxuWMvtYQK4790hwmbz8W66lS%252FUAlriPUnbelid%252FbTPKAIgqDKwe047AISI%252BUeCADm%252BHRBtdeSQDpuxX5rLTP0IGforQbw5KlXJoySzD88Ij6CD9821J1qrPnIkyWfwqda01a%252FI1Q7s4%252BCy7PKEFc%252B6Q6xHmmSzgtHUFcW%252BB6wuSW5rle8lmHnSl6YXSK77NacD4bDASVNASKr8wiSokbAq%252BucjOr6T2db0Vxdh%252BWgJBa84NIo1u4nJiTTnaekaybxgFyrToMK2FYr7HHvaCxOtBhgJflh%252BiOJw03qlVEjk5K8ZznAq%252Bma4UiocMgTKbwXyfGGEVcBHasNYhFDCfjd%252F1NEc8miWgYWE%252BHxCxuwTTmXAwdhBpYygXKiUnEKxoZwAe9C2uPag1ZBbHPDUo6k9yt9t8VlWG4pDfxRaiGwqQ0WBlpRj2e5%252BRslMIrtEsupuhmEiFjG98Gaj6ptrCJcBZEJn7ninqA9vwGMP%252FOHgD%252FMMJMgR%252B77tBFokmOcZGWFnMP4z%252F%252F6hqq4yok4AlMwL%252FjPMDl%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,sendbike,436,Paqueteriayenvios,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Nuevo,,			Europa,
tv 49 pulgadas,Módulo Wi-Fi BT01BCM20705B 1208160046528 23324309 27782313 49 pulgadas TV Polaroid,"18,48 EUR",mar. 6 jul. y el vie. 16 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332812580803,https://www.ebay.es/itm/332812580803?hash=item4d7d2cf7c3%3Ag%3AEAgAAOSwMzVboqm9&LH_BIN=1,tvpartsworld,1523,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			Unión Europea,
iphone 8 plus,iPhone 8 / 8 PLUS 64GB 256GB A1897 A1905 Grado A+ Fatturabile NO RICONDIZIONATO,"199,00 EUR",lun. 5 jul. y el mié. 4 ago.,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 30 días, el comprador paga los gastos de envío de la devolución","20,00 EUR",384050938155,https://www.ebay.es/itm/384050938155?_trkparms=ispr%3D1&hash=item596b38412b%3Ag%3AwtkAAOSw3dBgWIOi&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSQuF9OYLb3wphIAOfpJK8RoLYiitd5YxqdZc03X4t533pRNmTZBQOv%252Fevu7uqAomkgPeZpgR5t1%252FktAuJ1ZfWxqI8723%252FDvX%252BML7DRN18iqjlPdqDPUVdSk5vcoxqfV%252BJwkLXp71Ngoydc5c2ZrqrcLVLaH%252BR1YMt12%252FxC%252B0O2ESp%252FvhJc5ssh6xLpfbP9noq%252BQSF47%252F18W3pBExxrtRhJYyKXekIAN82Gd7X%252F6NBk%252BAwViefvabIXY1f%252FUb6gKe9b%252BGfSHfybhHx%252BcdcSL4G7vpNm2EOnaXHj8fdxhmQbR6Fd5Yo1KrKs6JTC8MjOvejdJ7idgyuqh1MbOUD%252BMk4axqt8YbJ6FsJZ3fkv0B0UkcX87NPH0AnGHappZRNOZIRvhFA1A1DD7LmSh548KyWAh1k5JhOwVcgW8sYH12eQOu%252FNiwPJYr3%252FiW%252Bj4c2A8OnYraBx3vJD1ILsXGGNYroeF8vw%252BoqcqdA%252FRPhV0s90OpATgkkqEY3xcEBxHq9X7BDIXQTrUSJCnXRAVV8LjuWoeglEU1W3dog5e5pKw%252Bw6beVUA7xLVer9KL7DypU8Z63gQRo2LUpEa63Qwu25ixcvCEhBXnVMumOelpgnh69FnP65k4Hm9NAN4%252BmmJib0Qs%252BuqOzXmnS6aHhRttIyB7EiYpU5kz3KKzKiDfqXbR5xBm55QebiZEbdqCCwcXtUuXXpg%252BuoBef1jrBU7XkwrgWJIode0PeQOnFbkWPLRH4mfs39fyWOLayeFjK3u%252BuIi6DjUjjCfKkkbIx0XiOEN%252FvBjNfb8CmSLu9z%252FGNriYYedU7%252BwPiWZHNMecgzyb%252BeRtq%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,itdream_shop,6562,Movilesytelefonia,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,"			Italia, Alemania, España, Austria, Francia",
tv 49 pulgadas,"Inclinación y giro de TV de montaje en pared Soporte Samsung LG 32 42 46 47 48 49 50 52 55"" pulgadas","21,85 EUR",lun. 12 jul.  y el mar. 13 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","10,20 EUR",274806673941,https://www.ebay.es/itm/274806673941?_trkparms=ispr%3D1&hash=item3ffbc11215%3Ag%3A%7ElQAAOSwvOxgrN0I&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6k8hKuIn0xoatiQbDjpZ7il%252BO8e0wDvICj%252F8fqafy2pgi3J3mtv99jBaky%252F5ZwjjKFeEIptOTGimVHmuPTsFv3%252FwG1euBnNHbkFdoPZoQdUoK84LiMsMSbP%252FbaYZz8hVOy%252BmZQ1uIApy9cpQSDI157QtBImh5MlOBnL13g2LM43EY7h0jmR0Auv3m5M77Ygd78E09ga6%252F8po6nLKSJ94xQAXNIVQJ3ojSLWGe7gpxYa%252B%252BcL9d21nxDa947KR4DG6%252BDHJn7LlXPoase%252FByKh5cY6%252Bwq%252B23xhehfT8%252FrF5thgfqAa%252FzDSmlnQ1oW4qEpCCrynZq5gdXGzGmKuHTY961ZFU85J%252BeKxf1jtQDQGkVx5%252BSqlG6K%252BOzMIygspl%252BzFu6rF%252BZ3tDFUtm6OCdEZDK7fyttTEttoVUvNuOEeSHVuERgMf02DdZelbnpqRi8FSqy%252FPpggo9iEAQpg3sPFdFYpzYRXW%252B26v%252FGaVkxbgxzPYTXVDKVV7jfyfMz1dypa2AWRa2F8uMxmpapfZQ1ChIyAl2auSvNNhdKL%252BcyoLxFCjEVghHwo4bmw4MIE5Jm4Vu3D3F8NCt0GFaGTYiUZ%252Fn%252BHrUjvDpRYcLfyL8dZFtNO%252BQ9zJxw5GSSdNP47Uwm2%252BST74N3JuQKgaUS4iV41hDnl5tY7FxoFR%252FUq056InDaf4OH06UyXNGV2QWomjpAMad%252BjwZz8baHDyAlnaUt1ITGQR1hI6Ivz85BltzFxh6jb5hTLb2p76ov%252BkczzUiSSnqSQY2kekD%252FDMrkRq3%252FtOVi7tm42kGtWd0Nq2ncYCM%252FweY%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,top-etrends,7884,AccesoriosTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Nuevo,,			,
tv 49 pulgadas,Placa De Fuente De Alimentación VESTEL 17IPS72 27779460 23332051 49 pulgadas TV Polaroid P49UP0,"28,93 EUR",mar. 6 jul. y el vie. 16 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332812575466,https://www.ebay.es/itm/332812575466?hash=item4d7d2ce2ea%3Ag%3AtHkAAOSwYxdboqe9&LH_BIN=1,tvpartsworld,1523,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			Unión Europea,
tv 49 pulgadas,Altavoces 1-859-227-11 49 pulgadas Tv Sony KDL-49WE663,"17,31 EUR",mar. 6 jul. y el vie. 16 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332818024184,https://www.ebay.es/itm/332818024184?hash=item4d7d8006f8%3Ag%3AF6YAAOSwULBbqTdX&LH_BIN=1,tvpartsworld,1523,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			Unión Europea,
tv 49 pulgadas,Altavoces MCK68810101 MCK68810102 49 pulgadas TV LG 49UH610V,"17,31 EUR",mar. 6 jul. y el vie. 16 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332809965668,https://www.ebay.es/itm/332809965668?hash=item4d7d051064%3Ag%3Ac4sAAOSw8zFboBGB&LH_BIN=1,tvpartsworld,1523,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			Unión Europea,
tv 49 pulgadas,Altavoces MCK68810101 MCK68810102 49 pulgadas TV LG 49UH610V,"15,22 EUR",mié. 7 jul. y el sáb. 17 jul. ,,No se aceptan devoluciones,"17,43 EUR",174494632997,https://www.ebay.es/itm/174494632997?hash=item28a0b0cc25%3Ag%3AomwAAOSwkHJflvgQ&LH_BIN=1,spartanstore300,400,RecambiosparaTVyHomeAudio,"PayPal,Maestro,Visa,Tarjeta Master,Discover",Usado,,			Todo el mundo,
tv 49 pulgadas,"Tira De Led Tipo 49UH61_UHD_B para 49"" LG 49UH610V Led Tv, Pantalla: NC490DGE ABEX5","16,21 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,75 EUR",265183228070,https://www.ebay.es/itm/265183228070?hash=item3dbe26f0a6%3Ag%3ApcAAAOSwoUpguALs&LH_BIN=1,misia109,4706,RecambiosparaTVyHomeAudio,"PayPal,Google Pay,Visa,Tarjeta Master,Amex",Usado,,			,
