query,title,price,shipping_time,variable_prod,returns,shipping_price,ebay_article_id,prod_url,ebay_vendor,category,subcategory,product_state,product_sold_out_text
tv 49 pulgadas,Altavoces MCK68810101 MCK68810102 49 pulgadas TV LG 49UH610V,"15,22 EUR",mié. 7 jul. y el sáb. 17 jul. ,,No se aceptan devoluciones,"17,43 EUR",174494632997,https://www.ebay.es/itm/174494632997?hash=item28a0b0cc25%3Ag%3AomwAAOSwkHJflvgQ&LH_BIN=1,spartanstore300,RecambiosparaTVyHomeAudio,,Usado,
xiaomi redmi note 8 pro,XIAOMI REDMI NOTE 10 PRO 64/128GB. 6GB RAM. SNAPDRAGON 732G . ¡VERSION ESPAÑOL!,"244,95 EUR",vie. 02 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 30 días, el vendedor paga el envío de la devolución",Rápido y gratis,224388431065,https://www.ebay.es/itm/224388431065?hash=item343e97bcd9%3Ag%3AtXIAAOSwt5ZgUfX2&LH_BIN=1,tintasypc,Movilesytelefonia,,Nuevo,
tv 49 pulgadas,"Tira De Led Tipo 49UH61_UHD_B para 49"" LG 49UH610V Led Tv, Pantalla: NC490DGE ABEX5","16,21 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,75 EUR",265183228070,https://www.ebay.es/itm/265183228070?hash=item3dbe26f0a6%3Ag%3ApcAAAOSwoUpguALs&LH_BIN=1,misia109,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,Receptor ir 49 pulgadas TV Polaroid P49UP0277A,"11,50 EUR",lun. 5 jul. y el jue. 15 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332812578572,https://www.ebay.es/itm/332812578572?hash=item4d7d2cef0c%3Ag%3AuowAAOSwCE5boqia&LH_BIN=1,tvpartsworld,RecambiosparaTVyHomeAudio,,Usado,
iphone 8 plus,iPhone 8 / 8 PLUS 64GB 256GB A1897 A1905 Grado A+ Fatturabile NO RICONDIZIONATO,"199,00 EUR",vie. 2 jul. y el mar. 3 ago.,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 30 días, el comprador paga los gastos de envío de la devolución","20,00 EUR",384050938155,https://www.ebay.es/itm/384050938155?_trkparms=ispr%3D1&hash=item596b38412b%3Ag%3AwtkAAOSw3dBgWIOi&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSQuF9OYLb3wphIAOfpJK8RoLYiitd5YxqdZc03X4t533pRNmTZBQOv%252Fevu7uqAomkgPeZpgR5t1%252FktAuJ1ZfWxqI8723%252FDvX%252BML7DRN18iqjlPdqDPUVdSk5vcoxqfV%252BJwkLXp71Ngoydc5c2ZrqrcLVLaH%252BR1YMt12%252FxC%252B0O2ESp%252FvhJc5ssh6xLpfbP9noq%252BQSF47%252F18W3pBExxrtRhJYyKXekIAN82Gd7X%252F6NBk%252BAwViefvabIXY1f%252FUb6gKe9b%252BGfSHfybhHx%252BcdcSL4G7vpNm2EOnaXHj8fdxhmQbR6Fd5Yo1KrKs6JTC8MjOvejrtv7PMCc40jjgUFetY6EcFrH7XSt6HqzaDd%252BDf47DkHtV%252Fqet5MmPO5TnCELLdLboE%252B%252FeuuCyAmQQ1Dubj%252FrS8AhH0QqnNcNWkP4QZXN1Cl1Gr9VS3AyJsb55hYrm3YcGgxaFjdG3CdTKfdD4aoyIzIy6MWK4LDqH3p2CB3hdec9TVSpfF7r9L0y1GYgYE%252Fx%252Fds6hmHaMCOUxKJdxpdzN7zVxtqlGuU9Iz0jkSSAXKFcqkXv9aiaLlENyyLYgkNePTgXoDIuBXLSR08X14svnTEMY2oe3AVw71HG9tafKLc%252BxMsrMfUViexrSlhpWJpV3pU%252BS0175ZPqCafroe752P5rcxEzwnI6nsLzErtVmIrG7qUKWPj9zV98v2FY0185HWLvc1wWrKLPNOj9HhLP0yT4WZ1GuzlxZ9NT4eL52FjnCUQuOJTJ2hmr5fEjxv3BkjNMTkLdM%252FS%252B9H52QmPYxydYHHvBEKg4mnDviu26HSM%252BKIeYQiL%252Boh6MpXpm0t%252BL%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,itdream_shop,Movilesytelefonia,,Usado,
tv 49 pulgadas,"Tira De Luz De Fondo LED 49LH51_FHD_B S para LG 49LH510V Tv, pantalla de 49"" NC490DUE ABEX1","18,53 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,80 EUR",264729421650,https://www.ebay.es/itm/264729421650?hash=item3da31a6752%3Ag%3A2sAAAOSwJ15eu6os&LH_BIN=1,misia109,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,Altavoces TL201710 30079437 49 pulgadas TV Polaroid P49UP0277A,"17,31 EUR",lun. 5 jul. y el jue. 15 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","13,94 EUR",332812596919,https://www.ebay.es/itm/332812596919?hash=item4d7d2d36b7%3Ag%3Af7YAAOSw43Bboqt0&LH_BIN=1,tvpartsworld,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,"Tira De Led Tipo 49UH61_UHD_A para 49"" LG 49UH610V Led Tv, Pantalla: NC490DGE ABEX5","16,21 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,75 EUR",265183227440,https://www.ebay.es/itm/265183227440?hash=item3dbe26ee30%3Ag%3AjOsAAOSwS2VguAIu&LH_BIN=1,misia109,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,Placa principal de TV Samsung 49 pulgadas Conectores,"30,91 EUR",lun. 12 jul.  y el mié. 14 jul. ,,No se aceptan devoluciones,"14,32 EUR",224282519598,https://www.ebay.es/itm/224282519598?hash=item343847a82e%3Ag%3ArlAAAOSwqstf22rU&LH_BIN=1,graveybaby1,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,"Samsung UE49MU6272 49"" pulgadas LED LCD TV Televisor Power Cable Lead C7 para Reino Unido","11,61 EUR",jue. 8 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,67 EUR",324287361145,https://www.ebay.es/itm/324287361145?hash=item4b81087079%3Ag%3AlgIAAOSwudpfVlD2&LH_BIN=1,spectrauk,RecambiosparaTVyHomeAudio,,Nuevo,
tv 49 pulgadas,"Tira De Luz De Fondo LED 49LH51_FHD_A S para LG 49LH510V Tv, pantalla de 49"" NC490DUE ABEX1","18,53 EUR",vie. 9 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,80 EUR",264729423462,https://www.ebay.es/itm/264729423462?hash=item3da31a6e66%3Ag%3AQ4sAAOSwNWxeu6sR&LH_BIN=1,misia109,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,Altavoces de TV Samsung 49 pulgadas,"46,48 EUR",mar. 13 jul.  y el jue. 15 jul. ,,No se aceptan devoluciones,"13,91 EUR",224282487902,https://www.ebay.es/itm/224282487902?hash=item3438472c5e%3Ag%3AI-gAAOSwuLdf22Y7&LH_BIN=1,graveybaby1,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,"Samsung UE49MU6400U 49"" pulgadas LED LCD TV Televisor Power Cable Lead C7 para Reino Unido","12,77 EUR",jue. 8 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,69 EUR",324287366755,https://www.ebay.es/itm/324287366755?hash=item4b81088663%3Ag%3AlgIAAOSwudpfVlD2&LH_BIN=1,spectrauk,RecambiosparaTVyHomeAudio,,Nuevo,
tv 49 pulgadas,TV grande caja de cartón almacenamiento transporte de pantalla plana de envío embalaje 4 Tamaños,"22,07 EUR",mié. 7 jul. y el vie. 23 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 14 días, el comprador paga los gastos de envío de la devolución","17,43 EUR",363270971321,https://www.ebay.es/itm/363270971321?_trkparms=ispr%3D1&hash=item5494a31fb9%3Ag%3Aj60AAOSwAQ5gFpIe&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS5%252FLJbfonbQUYd49AU1AJY06szbw32VBOvV69eOZ4QiIvNETjdz1P%252BX5jXEkQnJlfMuQv21bTHoU%252FLrp3OwOFZcIImhuJg8UogLC%252Ft2a9YeaA0raKi4pYkuH%252BgJIM0Hz%252BB7JWqbQL6wxwVGBIgrDNeOW%252FRVJsEZOaMLAHoAivRpI2%252Fi%252FbaGUqytJ6yf%252F94ykRWH6ZmBcLIEhcgxlU%252Bpja0cjjbV1y0mhUfvpXGFPEYFYLwNgiklSIuoq3rhuaVB83n4oTcqc3FgDBAwtiKwogT9XoX0D7c3JuG89lxuWMvtYQK4790hwmbz8W66lS%252FUAlfItdaeWzRHKiqK08kuzhtM%252BMaekflz0kQWs%252B8OdY8dXq5O0UAiAg%252Fuexw%252B5romUd8vx3vfR2Vmv8yTqUiH8hnwzrq2cigS60enFdILHZGUmZnk0D3%252Bw56U3J86AvJx5IyW9XJGhRQkJIBD%252FDayZg8MPKewfRNrVpcBs116JGBqrN4v5wnALYGwwD8fY%252BDhp1enVIsGeIAst%252FCrXiNzKW4ETjsTHiCZk%252BW9OpK96s0OgW406XI12Hl5xdEIvWa9hJBYABHq9R%252FhATguqP8gWe%252BwsLWezQB1%252BN%252FHjjY9YB5cirpddyU4oTbXF8kwnS8iyo9%252BgchQdn4wP%252FCxAGvL6M1AgQ8Zoz9mWVdw7O%252B48F3Vaj09T7GfUyc08Ip7kn4BBnIgCs410XACKn%252F9hn6tKZ8F44p1yn8AAYhLYApZ3YPvbpw9K6JqsmbDKnHsIssTT4CIhjBJMy7TQ3jBF9yTwAqE3roUV9Fm%252BugiT6CT0v0M2dl0fAkTnv1uXs%252BOUuOQhf%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,sendbike,Paqueteriayenvios,,Nuevo,
tv 49 pulgadas,Placa Principal Genuino BN-94-11055E para 49 Pulgadas Samsung Tv UE49KU6670U y otros,"40,67 EUR",mar. 13 jul.  y el jue. 15 jul. ,,No se aceptan devoluciones,"13,92 EUR",114746958392,https://www.ebay.es/itm/114746958392?hash=item1ab773a238%3Ag%3A6qwAAOSwqOZgY1cj&LH_BIN=1,mariusz9494,RecambiosparaTVyHomeAudio,,Usado,
tv 49 pulgadas,"Samsung UE49KU6500U 49"" pulgadas LED LCD TV Televisor Red De Plomo Cable De Alimentación Para","12,77 EUR",jue. 8 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,69 EUR",324296180928,https://www.ebay.es/itm/324296180928?hash=item4b818f04c0%3Ag%3AhuwAAOSwmoNfX8ec&LH_BIN=1,spectrauk,RecambiosparaTVyHomeAudio,,Nuevo,
