query,title,price,shipping_time,variable_prod,returns,shipping_price,ebay_article_id,prod_url,ebay_vendor,category,subcategory,product_state,product_sold_out_text
iphone12,Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS 14 Black ,"779,90 EUR",lun. 5 jul. y el mié. 4 ago.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,90 EUR",133559765981,https://www.ebay.es/itm/133559765981?hash=item1f18c84bdd%3Ag%3A6AEAAOSwsgtfmasC&LH_BIN=1,eshopping.srl,Movilesytelefonia,,Nuevo,
mesita noche,Mesita de Noche Para Dormitorio 2 o 3 cajones mesitas mesilla cama habitacion ,"49,90 EUR c/u",vie. 02 jul. ,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 60 días, el vendedor paga el envío de la devolución",Rápido y gratis,262895081211,https://www.ebay.es/itm/262895081211?_trkparms=ispr%3D1&hash=item3d35c496fb%3Ag%3AVJ8AAOSw5eReiz8h&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BqWjm7C1507czCPRTfTb15yEeBJQvahoNrkwIh4sRLxdvNTtxMdNrMRjvjb5mVmzw%252BgKiIvLLL5EDOIfoata7sgK6a%252F7zm5XiXvHaim4xBA4u4%252BRTa3K%252FMXsp6j%252B7s0FOVX25jqNzujaR%252F3kva9ld0%252BBPD0d%252FceSXhk13s0Agfn3Mm4xk0cFEdcDxP5DN6UrdGZ9i%252BM914L6jM6d4RUXgTwYcAXhKt9IS%252BfovPhgJWwKxLxziUdkb%252FH%252FcyCs5jYzGo%252BUJKQDk6A512QddyVrDah10Cd6V0cxM1qhxyLd62hY72rsSd5Bq32bpPjNAMM7GxTX19JrzoygPOiLO19rBSVCxZNtAwq%252BQThUotYzq24HacS4%252F8Cqw38nodQc5d%252B1ydfYt%252BeZpzHFT1ipF5jhKE3ftutYlAAV6Z5RlDxAByaY2I7YSwWK1BPTvawFSCsuDvKPaLbmbHNBHxSsMOrv%252FHqg9je%252FOO%252FTwDExMIbUzEFSabvA2ZFpGRxRIUuBe0%252F5brooQRR1iYzVKSjFlAiRvnOL6lixl8Ag90D%252FCmXbvTg1hV3vTzYjzoGNoIs9EUhMcWCuU4Q%252F3SJ8c2cvDd5NZbw%252BHnw4gesh200om9c6FyZ12%252BtvZGjvd8FVm9ERLxvDU37Mfl1VFiP8V1hp0JECAHgBipbI3hwqnBLYvlPzar%252B3cw9VWBBDwoYbc9fJJ45XYRFD4jMXCXdscHjwQHRdxpKOuY%252BAik84DQYTs1%252F%252FwDQB7rM2xtnSlK7e4Lwy4zlexrwFSOdCviRE39FC47Psb4D4TyAA7ioolNyUBPC%252B6fs%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,dhometienda,Mobiliario,,Nuevo,
iphone12,Apple iPhone 12 (product) red - 128gb (sin bloqueo SIM) - a estrenar sellada,"757,00 EUR",lun. 12 jul.  y el mar. 13 jul. ,,Los consumidores tienen derecho a devolver el artículo según las condiciones que aparecen más abajo,"18,00 EUR",353554304892,https://www.ebay.es/itm/353554304892?hash=item52517a8f7c%3Ag%3AOlwAAOSwQ%7EVfhvt8&LH_BIN=1,alba_mobil,Movilesytelefonia,,Nuevo,
zapatero pared,"Armario zapatero 7 estantes, gran capacidad de espacio para el calzado, Basic","64,99 EUR",lun. 5 jul. y el jue. 8 jul.,"<span id=""sel-msku-variation"" style=""display:none"">-1</span>","reembolso de 30 días, el comprador paga los gastos de envío de la devolución",GRATIS,121409400166,https://www.ebay.es/itm/121409400166?hash=item1c44906d66%3Ag%3AqO4AAOSwqwRemBNt&LH_BIN=1,due-home,Solucionesdealmacenamiento,,Nuevo,
iphone12,Apple iPhone 12 5G 128GB NUOVO Originale Smartphone iOS 14 Blue,"799,90 EUR",lun. 5 jul. y el mié. 4 ago.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","9,90 EUR",143894505790,https://www.ebay.es/itm/143894505790?hash=item2180c7e93e%3Ag%3ABpgAAOSwDXlf4g%7El&LH_BIN=1,eshopping.srl,Movilesytelefonia,,Nuevo,
microondas ,Microondas Orbegozo MI 2115 20L 700W Temporizador 30MIN,"58,64 EUR c/u",mar. 6 jul. y el lun. 12 jul. ,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución",GRATIS,164573108991,https://www.ebay.es/itm/164573108991?_trkparms=ispr%3D1&hash=item2651525aff%3Ag%3AicIAAOSwXAVf0yay&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRl7MpKPHUfdmPG%252BC7EA5zzbVjXByY11lwRjZ9FtP0Pa2VImX3h0i04M60IGIsV5yt56psfopONEQBuNb6L2fr%252Bbli3SoJKoqPQ6TbE7sgQOK1EEoo8pVKyKkjLPv3oNavA11pKwfvPNoN7%252BEcKkfaUYqr1kAPqt%252FKdK6zEM6r1kYnpICdTcP4K3r5e1XZ49TYHAzT5Lu7hYM%252FBynhxEdusz8zl%252FN2chLID9HV0homeupBj%252BG40MtmDYiyo%252BYJtRlCT4wEZiXWzl6Hi8%252FOEFQNuTeuABt8HZo%252FlyK0k6mRfCp8yteMCWqzyVQZItWARd28ZczmkYUDgFCzvi2i0BHmLMIuX6qaCBks4vLLwNpAPdvHk2RzZ%252BcbDjCnBPp%252BZm85Vw5bc5EjKmxQJBvHciU0IlciqFk8qR0g4sQTtoY83Z86e%252F%252Bv9uA9HrG%252FyoaX%252BF18449B3H7vEL8C9RTaeOQ7sjafxrp0WNiTj%252FlST7hqRZF5%252BYDOEdfrRQ1vpBgIzR1D4yk10uaWGMUKh5EHwWSdokPWddShh%252FAt0ek7mO0S8nXJV2%252FR52D%252Fq2SqdV%252FhqHRdJuwFC3EkdSneagiQyebmwP6shdO%252B7QsByLhwsZctihVcEbsyC0g%252BheSMf%252BhxVoyc1hRk9awhpnGdU2Sj%252Fsd7GwwuWdRsDWjWLrQdwprZS%252BheWORv7j1M4CYFxC5ED3GISL%252BoLXs1otfvN%252F4YtFwNznCjL7767qgiuTmW3RjBxKYquWKPe%252FEVXvz7k3JJa8OpCbxxW6xGbGrzhPkwB1gjBNYlhZwbUpowPIblCWZH%252BC5%7Campid%3APL_CLK%7Cclp%3A2334524&LH_BIN=1,electrocosto,Microondas,,Nuevo,
iphone12,"Apple iPhone 12 64gb blanco smartphone sin bloqueo SIM, mgj63zda-como nuevo","689,00 EUR",mar. 6 jul. y el mié. 14 jul. ,,Los consumidores tienen derecho a devolver el artículo según las condiciones que aparecen más abajo,"17,70 EUR",402954155249,https://www.ebay.es/itm/402954155249?hash=item5dd1f074f1%3Ag%3AZJcAAOSw1Qhg2dVe&LH_BIN=1,myswooop,Movilesytelefonia,,"Abierto, sin usar",
tv 49 pulgadas,Tv Samsung 46 pulgadas,"410,00 EUR",,,No se aceptan devoluciones,,153272864460,https://www.ebay.es/itm/153272864460?hash=item23afc64ecc%3Ag%3AEv8AAOSwvL1b9vBd&LH_BIN=1,azapya,Imagenysonido,,Usado,
iphone12,Apple iPhone 12 mini (product) red - 256gb (sin bloqueo SIM) nuevo & OVP,"799,99 EUR",mié. 14 jul.  y el jue. 15 jul. ,,No se aceptan devoluciones,"20,00 EUR",392063321384,https://www.ebay.es/itm/392063321384?hash=item5b48cb8528%3Ag%3AMYUAAOSwemRfhvt9&LH_BIN=1,smartphone..jena,Movilesytelefonia,,Nuevo,
iphone12,Nueva En Caja iPhone SE 2 (2020) - 128GB (producto) Blanco Desbloqueado,"464,78 EUR",jue. 8 jul. y el vie. 9 jul.,,"reembolso de 30 días, el comprador paga los gastos de envío de la devolución","17,92 EUR",174821337545,https://www.ebay.es/itm/174821337545?hash=item28b429e9c9%3Ag%3AmKQAAOSwrlJg3Hrt&LH_BIN=1,al.ltd4,Movilesytelefonia,,Nuevo,
