title,price,query,shipping_time,variable_prod,returns,shipping_price,ebay_article_id,prod_url,ebay_vendor,seller_votes,category,payment_methods,prod_specs,product_state,prod_description,served_area,reviews,product_sold_out_text,import_taxes
Bolso bimba y lola,"45,00 EUR",bolso bimba y lola,jue. 12 ago.  y el mar. 17 ago. ,,No se aceptan devoluciones,"3,00 EUR",393402832879,https://www.ebay.es/itm/393402832879?hash=item5b98a2d7ef%3Ag%3AKrwAAOSwsZpgjPgI&LH_BIN=1,josusosapere0,2,Ropazapatosyaccesoriosdemujer,"PayPal,Apple Pay,Google Pay,Visa,Tarjeta Master,Amex","{'Estado:': 'Nuevo con etiquetas: Un artículo nuevo, sin usar y sin estrenar, en el paquete original (por ejemplo, la caja o bolsa originales) y/o con las etiquetas originales.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Marca:': 'BIMBA Y LOLA', 'Personaje:': 'Bolsa', 'Color:': 'varios colores', 'Departamento:': 'Mujer', 'Material:': 'Acero inoxidable, Acrílico', 'Estilo:': 'Bolso'}",Nuevo con etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Bolso bimba y lola. El estado es ""Nuevo con etiquetas"".</p>\n<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Especificar color por mensaje</p>\n<p dir=""ltr"" style=""margin-top:0; margin-bottom:0;"">Recordamos que los envíos están tardando un poco más de habitual </p></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/393402832879?hash=item5b98a2d7ef%3Ag%3AKrwAAOSwsZpgjPgI&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			Todo el mundo,,,
Bolso Bimba y Lola,"70,00 EUR",bolso bimba y lola,mié. 11 ago.  y el vie. 13 ago. ,,No se aceptan devoluciones,GRATIS,392604764249,https://www.ebay.es/itm/392604764249?hash=item5b69114859%3Ag%3AR8wAAOSwsnVeAdGp&LH_BIN=1,laura12_mf,0,Ropazapatosyaccesoriosdemujer,"PayPal,Maestro,Visa,Tarjeta Master,Discover","{'Estado:': 'Nuevo con etiquetas: Un artículo nuevo, sin usar y sin estrenar, en el paquete original (por ejemplo, la caja o bolsa originales) y/o con las etiquetas originales.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Marca:': 'BIMBA Y LOLA', 'Departamento:': 'Mujer', 'Estilo:': 'Bolso', 'Personaje:': 'Bolsa'}",Nuevo con etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\tBolso Bimba y Lola. El estado es Nuevo con etiquetas. </div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/392604764249?hash=item5b69114859%3Ag%3AR8wAAOSwsnVeAdGp&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			España,,,
Bolso negro piel Bimba y Lola,"195,00 EUR",bolso bimba y lola,mar. 10 ago.  y el jue. 12 ago. ,,No se aceptan devoluciones,"6,00 EUR",274805772317,https://www.ebay.es/itm/274805772317?hash=item3ffbb3501d%3Ag%3AORIAAOSwRZhgp-Rx&LH_BIN=1,merigarci,78,Ropazapatosyaccesoriosdemujer,"PayPal,Apple Pay,Google Pay,Visa,Tarjeta Master,Amex","{'Estado:': 'Nuevo con etiquetas: Un artículo nuevo, sin usar y sin estrenar, en el paquete original (por ejemplo, la caja o bolsa originales) y/o con las etiquetas originales.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Marca:': 'BIMBA Y LOLA', 'Departamento:': 'Mujer', 'Color:': 'Negro', 'Estilo:': 'Bolso', 'Personaje:': 'Bolsa', 'Material:': 'Piel'}",Nuevo con etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\tPrecioso bolso de mano, con dos asas, negro, de piel, de la prestigiosa marca Bimba y Lola. Todo un fondo de armario. Tiene un tamaño ideal: ni muy grande ni muy pequeño (27,5 x 17,5 x 11). Lleva tira para poder llevarlo del hombro o cruzado. Cierre de cremallera. Interior dividido en dos compartimentos. A estrenar; con etiqueta. Lo entrego con bolsa de la marca, para guardarlo. En Zaragoza puedo entregar en mano. Gastos de envío y empaquetado a cargo del comprador: correo ordinario 3 euros; correo certificado 6 euros.</div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/274805772317?hash=item3ffbb3501d%3Ag%3AORIAAOSwRZhgp-Rx&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			España,,,
Bimba y lola bolso verde azulado,"41,09 EUR",bolso bimba y lola,mié. 18 ago.  y el vie. 20 ago. ,,No se aceptan devoluciones,"18,52 EUR",254739009856,https://www.ebay.es/itm/254739009856?hash=item3b4fa0d140%3Ag%3Aw2AAAOSwpwBfefMw&LH_BIN=1,nadal77uk,181,Ropazapatosyaccesoriosdemujer,"PayPal,Apple Pay,Google Pay,Visa,Tarjeta Master,Amex","{'Estado:': 'Usado: Un artículo que se ha usado con anterioridad. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Brand:': 'BIMBA Y LOLA', 'Colour:': 'TEAL', 'Department:': 'Women'}",Usado,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<p>BIMBA Y LOLA TEAL BAG. Coat sold separately</p><br><p>BIMBA Y LOLA TEAL BAG. Condition is ""Used"".</p></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/254739009856?hash=item3b4fa0d140%3Ag%3Aw2AAAOSwpwBfefMw&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			,,,"GBP 12,42"
bimba y lola bolso original nuevo en su funda sac bag borsa väska laukku  ,"45,00 EUR",bolso bimba y lola,lun. 09 ago. ,,No se aceptan devoluciones,Rápido y gratis,224516614604,https://www.ebay.es/itm/224516614604?hash=item34463ba9cc%3Ag%3AIyAAAOSwH%7ERbqRMg&LH_BIN=1,spanischerose,483,Ropazapatosyaccesoriosdemujer,"PayPal,Apple Pay,Google Pay,Visa,Tarjeta Master,Amex","{'Estado:': 'Nuevo sin etiquetas: Un artículo nuevo, sin usar y sin estrenar, que no se encuentra en su paquete original para venta en tiendas o que carece de parte de dicho empaquetado (como la caja o la bolsa originales). Puede que no incluya las etiquetas originales. Por ejemplo, unos zapatos nuevos (sin señal alguna de uso) que no vinieran en su caja original entrarían en esta categoría.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Departamento:': 'Mujer', 'Material:': 'Piel', 'Marca:': 'bimba y lola', 'Color:': 'Marrón', 'Estilo:': 'Bandolera'}",Nuevo sin etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial"" color=""#f30094""><div style=""text-align: center;"">bolso de la marca</div><div style=""text-align: center;"">bimba y lola</div><div style=""text-align: center;""><br></div><div style=""text-align: center;"">nuevo</div><div style=""text-align: center;"">medidas : 18 de alto x 25 de largo</div><div style=""text-align: center;"">en su funda guardapolvo</div><div style=""text-align: center;"">ver fotos</div><div style=""text-align: center;"">precioso regalo</div><div style=""text-align: center;"">\xa0</div><div style=""text-align: center;"">correo ordinario</div></font></font></font></font></font></font></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/224516614604?hash=item34463ba9cc%3Ag%3AIyAAAOSwH%7ERbqRMg&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			Unión Europea,,,
Bolso Vinilo BIMBA Y LOLA,"55,00 EUR",bolso bimba y lola,mié. 11 ago.  y el jue. 12 ago. ,,"reembolso de 14 días, el comprador paga los gastos de envío de la devolución","12,80 EUR",333383747477,https://www.ebay.es/itm/333383747477?hash=item4d9f384795%3Ag%3AproAAOSwJ%7EhdvXEn&LH_BIN=1,shop-theboss,106,Ropazapatosyaccesoriosdemujer,"PayPal,Maestro,Visa,Tarjeta Master,Discover","{'Estado:': 'Nuevo sin etiquetas: Un artículo nuevo, sin usar y sin estrenar, que no se encuentra en su paquete original para venta en tiendas o que carece de parte de dicho empaquetado (como la caja o la bolsa originales). Puede que no incluya las etiquetas originales. Por ejemplo, unos zapatos nuevos (sin señal alguna de uso) que no vinieran en su caja original entrarían en esta categoría.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'País de origen:': 'España', 'Personaje:': 'Bolsa', 'Estampado:': 'Formas geométricas', 'Ancho del bolso:': '18 cm', 'Color del fabricante:': 'Negro', 'Tamaño:': 'Mini', 'PaÃ\xads de origen:': 'España', 'Color:': 'Negro', 'Estilo:': 'Bolso', 'Marca:': 'BIMBA Y LOLA', 'Material:': 'Vinilo', 'Tejido:': 'Vinilo', 'Cierre:': 'Cremallera', 'Características:': 'Bolsillos internos, Ligero, Correa ajustable', 'Alto del bolso:': '13', 'País/Región de fabricación:': 'España', 'Departamento:': 'Mujer'}",Nuevo sin etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<p>Bolsos vinilo - Bolsos de mujer . El estado es como nuevo</p><p>. Bolsito colección SPECIAL  PRINT EDITION de bimba y Lola estampado y fondo negro. </p><p>Es de vinilo ,se puede llevar colgado o bien de mano.</p><p>Esta nuevo sin uso . </p><p>No conservo funda guardapolvo</p><p>Medidas : 18 cm x 13 cm x 13 cm</p></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/333383747477?hash=item4d9f384795%3Ag%3AproAAOSwJ%7EhdvXEn&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']","			América, Europa, Australia",,,
bolso bimba y lola para mujer,"55,00 EUR",bolso bimba y lola,mié. 11 ago.  y el lun. 16 ago. ,,No se aceptan devoluciones,GRATIS,163387252739,https://www.ebay.es/itm/163387252739?hash=item260aa3a003%3Ag%3As8YAAOSwzXJb9TPq&LH_BIN=1,jutena-0,0,Ropazapatosyaccesoriosdemujer,"PayPal,Maestro,Visa,Tarjeta Master,Discover","{'Estado:': 'Nuevo sin etiquetas: Un artículo nuevo, sin usar y sin estrenar, que no se encuentra en su paquete original para venta en tiendas o que carece de parte de dicho empaquetado (como la caja o la bolsa originales). Puede que no incluya las etiquetas originales. Por ejemplo, unos zapatos nuevos (sin señal alguna de uso) que no vinieran en su caja original entrarían en esta categoría.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Marca:': 'BIMBA Y LOLA', 'Estilo:': 'Bolso'}",Nuevo sin etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<p>Bolso 100% original Bimba y Lola. De mida pequeña y muy practico para llevar cruzado. Original por su forma rallada de color negro y rojo. Nuevo para estrenar. Muy recomendable.</p></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/163387252739?hash=item260aa3a003%3Ag%3As8YAAOSwzXJb9TPq&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			España,,,
Bolso Bimba y Lola original ,"90,00 EUR",bolso bimba y lola,mar. 10 ago.  y el mié. 11 ago. ,,No se aceptan devoluciones,"7,00 EUR",323781162363,https://www.ebay.es/itm/323781162363?hash=item4b62dc757b%3Ag%3AID0AAOSwO4hgXm8d&LH_BIN=1,orgolida,547,Ropazapatosyaccesoriosdemujer,"PayPal,Apple Pay,Google Pay,Visa,Tarjeta Master,Amex","{'Usado :   Un artículo que se ha usado con anterioridad. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña': '“En muy buen estado, sin desgaste”'}",Usado,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\tBolso original de Bimba y Lola. En cuero natural en color turquesa.<div>Tamaño mediano. En muy buen estado, sin desgaste.</div><div>Se entrega con funda protectora de algodón y bolsa de papel.<br><div><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4"" style=""font-family:Arial""><font rwr=""1"" size=""4""><font rwr=""1"" size=""4""><font rwr=""1"" size=""4""><font rwr=""1"" size=""4""><div><div><font face=""Arial""><br></font></div><div><font face=""Arial"">Consultar el precio del envío para islas y Baleares y países fuera de la union europea.</font></div><div><font face=""Arial""><br></font></div><div><font face=""Arial""><br></font></div><div><font face=""Arial"">Si no estas seguro que te gusta el articulo no compres y no perjudiques la venta.</font></div><div><font face=""Arial"">Sin reservas, sin ofertas.</font></div></div></font></font></font></font></font></font></font></font></div></div></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/323781162363?hash=item4b62dc757b%3Ag%3AID0AAOSwO4hgXm8d&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			Todo el mundo,,,
Bolso Bimba y Lola,"41,10 EUR",bolso bimba y lola,mié. 11 ago.  y el mar. 17 ago. ,,No se aceptan devoluciones,"18,73 EUR",184670550953,https://www.ebay.es/itm/184670550953?hash=item2aff38fba9%3Ag%3ACvoAAOSwgC5gLq2z&LH_BIN=1,rock_2491965,253,Ropazapatosyaccesoriosdemujer,"PayPal,Maestro,Visa,Tarjeta Master,Discover","{'Usado :   Un artículo que se ha usado con anterioridad. En el anuncio del vendedor encontrarás todos los detalles y una descripción de los desperfectos, si los hay.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña': '“very good condition...”'}",Usado,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<font rwr=""1"" size=""4"" style=""font-family:Arial""><c-wiz jsrenderer=""xuEY0"" class=""rm1UF UnxENd dHeVVb"" jsshadow="""" jsdata=""deferred-c409"" data-p=\'%.@."""","""",""""]\' jscontroller=""M2suMc"" jsaction=""fgP5ge:reBGj,fO5Jj;SuwQzc:psubsc;ZJRbqd:R99J9b;PPMpVe:Ro8hud;iRXaId:vQ5fhd,QHu6Rd,g1rTCe,hHjFBe;WUl1Sc:Lt1lf;ETwhqd:ohO51;xlKgVc:sz93Ff;auJseb:IV7LWe;pNe98e:B1XqVb;xFfZGc:fO5Jj;OQcvYd:o9EnMb,lXvwxb;sT00Fe:Nrlepe;K1idad:ueU8Ab;MFfQNe:XTf7qb;n3ynxb:tQNmWe;k9TsOe:PCDOwc;RRMwLc:Fg8W1e;mG3QHf:OYLrVb;Qz4V0b:hQ7xdc;fBzasf:YoknPd;UgEtGb:hQ7xdc;h5CHLc:i5R1S; click:gx3W4c; touchend:Ui18c;h1Uxi:qx6Cqc;PF39hf:gx3W4c;HmXuze:peH7Nc;FvQNXc:T2uEDc,J6gWY;zOKmBc:rV2CEd,ZQTNrf;NC92Xd:t0GU7d,UbDGRc;XZiffb:MEUYed,ZcXqnb;tt7Sbd:XTdsoc;"" data-node-index=""2;0"" jsmodel=""hc6Ubd LP4cEc"" style=""font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: medium; -webkit-tap-highlight-color: transparent; contain: style; display: flex; flex-direction: column; position: relative; flex: 1 1 0%; color: rgba(0, 0, 0, 0.87); background-color: rgb(255, 255, 255);""><div class=""FFpbKc"" soy-server-key=""6:VAzvVd"" style=""-webkit-tap-highlight-color: transparent; align-items: center; display: flex; padding-bottom: 8px; padding-left: 11px; padding-right: 4px; margin-top: auto;""><div class=""ZTPlmc"" style=""-webkit-tap-highlight-color: transparent; align-items: center; color: rgb(95, 99, 104); direction: ltr; display: flex; font-size: 12px; margin-top: 4px; margin-left: auto;""><span style=""-webkit-tap-highlight-color: transparent;""><span jsname=""qKMVIf"" style=""-webkit-tap-highlight-color: transparent;"">7</span>\xa0/ 5000</span></div><div class=""nidPne"" style=""-webkit-tap-highlight-color: transparent; display: inline-block; padding: 10px 16px;""><c-wiz jsrenderer=""rQ304"" class=""reACy"" jsshadow="""" jsdata=""deferred-i17"" data-p=\'%.@."""",""""]\' jscontroller=""AKLKy"" jsaction=""rcuQ6b:FkvwT;fgP5ge:vQ5fhd;pYfCx:Rayp9d;G5uTk:YW7Ut;nuAkFb:VbcIxe;PF39hf:WijZA,bakTsb,w0auy,uc7bub,OG0KKc,sMOlGe;h1Uxi:Hkadab;keAsDe:OdlKe,IBxxHd;we4cO:xCAWWb;"" data-node-index=""1;0"" jsmodel=""hc6Ubd VETAO"" style=""-webkit-tap-highlight-color: transparent; contain: style;""><span jsaction=""mouseover: EiFl6d;"" jsname=""EeRPp"" style=""-webkit-tap-highlight-color: transparent;""><div jscontroller=""HwavCb"" jsaction=""mouseover: kptBG(Fs81Kd); mouseout: o9UdU(Fs81Kd),o9UdU(V6DMGe);"" data-show-delay-ms=""250"" jsshadow="""" data-append-to-body=""true"" data-propagate-tooltip-mouseover-events=""true"" data-anchor-corner=""bottom-left"" data-popup-corner=""top-left"" id=""ow60"" __is_owner=""true"" style=""-webkit-tap-highlight-color: transparent;""><div jsname=""Fs81Kd"" style=""-webkit-tap-highlight-color: transparent;""><span jsslot="""" style=""-webkit-tap-highlight-color: transparent;""><div soy-server-key=""6:cMXbvc"" class=""scLCMd"" jsname=""okPJjb"" style=""-webkit-tap-highlight-color: transparent;""><div style=""-webkit-tap-highlight-color: transparent;""><span class=""ita-kd-inputtools-div"" style=""-webkit-tap-highlight-color: transparent; display: table; white-space: nowrap;""><div class=""goog-container goog-container-vertical"" tabindex=""-1"" style=""-webkit-tap-highlight-color: transparent; user-select: none;""><a class=""ita-kd-icon-button ita-kd-inputtool-icon ita-kd-small ita-kd-left"" role=""button"" tabindex=""0"" style=""-webkit-tap-highlight-color: transparent; color: rgb(68, 68, 68); display: inline-block; min-width: 33px; text-align: center; font-size: 11px; font-weight: bold; height: 27px; padding: 0px; margin: 0px; transition: all 0.218s ease 0s; user-select: none; cursor: default; border-radius: 2px 0px 0px 2px; float: left; position: relative; z-index: 1; width: 33px;""><span class=""ita-kd-img ita-icon-0 ita-kd-icon ita-kd-icon-span"" style=\'-webkit-tap-highlight-color: transparent; background-image: url(""https://www.gstatic.com/inputtools/images/ita_sprite8.png""); background-size: 850px 250px; width: 23px; height: 16px; display: inline-block; margin: 6px 0px 0px; opacity: 0.26; vertical-align: middle; background-position: -14px -17px; user-select: none;\'></span></a><a class=""ita-kd-icon-button ita-kd-dropdown ita-kd-right"" role=""button"" tabindex=""0"" aria-haspopup=""true"" aria-label=""Show the Input Tools menu"" style=""-webkit-tap-highlight-color: transparent; color: rgb(68, 68, 68); display: inline-block; min-width: 18px; text-align: center; font-size: 11px; font-weight: bold; height: 27px; padding: 0px; margin: 0px 0px 0px -1px; transition: all 0.218s ease 0s; user-select: none; cursor: default; float: left; position: relative; z-index: 1; width: 18px;""><span class=""ita-kd-img ita-kd-arrow ita-kd-icon-span"" style=\'-webkit-tap-highlight-color: transparent; background-image: url(""https://www.gstatic.com/inputtools/images/ita_sprite8.png""); background-size: 850px 250px; background-position: -620px -218px; width: 12px; height: 15px; display: inline-block; margin: 6px 0px 0px; opacity: 0.54; vertical-align: middle; user-select: none;\'></span></a></div></span></div></div></span></div></div></span></c-wiz></div></div></c-wiz><c-wiz jsrenderer=""WFss9b"" class=""P6w8m BDJ8fb"" aria-labelledby=""c410"" role=""region"" jsshadow="""" jsdata=""deferred-c411"" data-p=""%.@.]"" jscontroller=""pPThOe"" jsaction=""cVBjOb:R39vXe,IUcju,SJbMmc,SsILKe,jsOQJc,e5Ystc,AZZyxc;LHU2xc:Yihg0b,Wm5pEd;qDGYgb:zX13ie;yZ6OX:QUCxlc,RHer4;eLAnNe:yz7ijf;F5MSFd:twqeXd;UgEtGb:hQ7xdc,j0ySHf;qE2zJe:WOjgW;fBzasf:YoknPd;Qz4V0b:hQ7xdc;h5CHLc:RnmhLc;AwBmXe:OzU88,ZKzul;Q1tZlf:YEdRcb,BwbFIf;lUENBf:CK2cEd;"" data-node-index=""5;0"" jsmodel=""hc6Ubd"" style=""-webkit-tap-highlight-color: transparent; contain: style; background: rgb(245, 245, 245); display: flex; flex-direction: column; position: relative; word-break: break-word; overflow-wrap: break-word; flex: 1 1 0%; border-left: 1px solid rgba(0, 0, 0, 0.12); border-bottom-right-radius: 8px;""><h2 class=""oBOnKe"" id=""c410"" style=""color: rgba(0, 0, 0, 0.87); font: inherit; white-space: nowrap; -webkit-tap-highlight-color: transparent; border: 0px; margin: 0px; padding: 0px; clip: rect(1px, 1px, 1px, 1px); height: 1px; overflow: hidden; position: absolute; width: 1px; z-index: -1000;"">Resultados da tradução</h2><div class=""dePhmb"" jsaction=""copy:zVnXqd,r8sht;"" jsname=""r5xl4"" style=""-webkit-tap-highlight-color: transparent; flex: 1 1 auto; display: flex; flex-direction: column;""><div class=""eyKpYb"" jscontroller=""UmyLh"" jsmodel=""d6pv6c"" data-language=""en"" data-original-language=""pt"" data-result-index=""0"" jsaction=""rcuQ6b:uniPq;agoMJf:uniPq;d3Xgce:uniPq;PAwimb:fO5Jj;YMDPBc:IPcVpf;zimBkd:psubsc,xEIEwf,vvaHqf,Mw7EEb,bfSYBe,xdbiQe,Omr8vc,aVxZJe;cJuFmb:inBH1e;ZpeCNe:B59DSc;bA9BVe:NTHvjd,G7JiR;yZ6OX:TWxCtb;EKmdBc:g1rTCe; dblclick:wgdrZd"" jsdata=""Rd7LAc;_;$168"" style=""-webkit-tap-highlight-color: transparent; position: relative; display: flex; flex-direction: column; flex-grow: 1;""><div class=""J0lOec"" style=""color: rgb(0, 0, 0); font-family: Roboto, RobotoDraft, Helvetica, Arial, sans-serif; font-size: 24px; white-space: pre-wrap; -webkit-tap-highlight-color: transparent; line-height: 32px; padding: 20px 56px 20px 24px; direction: ltr;""><span class=""VIiyi"" jsaction=""mouseup:BR6jm"" jsname=""jqKxS"" lang=""en"" style=""-webkit-tap-highlight-color: transparent; display: inline;"">width</span> - 50cm</div><div class=""J0lOec"" style=""-webkit-tap-highlight-color: transparent; line-height: 32px; padding: 20px 56px 20px 24px; direction: ltr;""><font face=""Roboto, RobotoDraft, Helvetica, Arial, sans-serif""><span style=""font-size: 24px; white-space: pre-wrap;"">height -31 cm</span></font></div></div></div></c-wiz></font></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/184670550953?hash=item2aff38fba9%3Ag%3ACvoAAOSwgC5gLq2z&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			Todo el mundo,,,
Bolsa de tela blanca Bimba y Lola,"5,95 EUR",bolso bimba y lola,mié. 11 ago.  y el vie. 13 ago. ,,"reembolso de 14 días, el comprador paga los gastos de envío de la devolución",GRATIS,233875580355,https://www.ebay.es/itm/233875580355?hash=item36741225c3%3Ag%3A0DEAAOSwMmNgEuqX&LH_BIN=1,martifis-bkuv90q,22,Ropazapatosyaccesoriosdemujer,"PayPal,Maestro,Visa,Tarjeta Master,Discover","{'Estado:': 'Nuevo sin etiquetas: Un artículo nuevo, sin usar y sin estrenar, que no se encuentra en su paquete original para venta en tiendas o que carece de parte de dicho empaquetado (como la caja o la bolsa originales). Puede que no incluya las etiquetas originales. Por ejemplo, unos zapatos nuevos (sin señal alguna de uso) que no vinieran en su caja original entrarían en esta categoría.Ver todas las definiciones de estado: se abre en una nueva ventana o pestaña... Más informaciónsobre el estado', 'Marca:': 'BIMBA Y LOLA', 'Departamento:': 'Mujer', 'Estilo:': 'Bolso', 'Personaje:': 'Bolsa', 'Material del forro:': 'Tela', 'Color:': 'Blanco'}",Nuevo sin etiquetas,"['<body><table align=""center"" style=""border-spacing: 0px; width: 100%;"">\n\t<tr>\n\t\t<td>\n\t\t\t<div id=""ds_div"">\n\t\t\t\t\t\t\t<font size=""4"">Bolsa de tela blanca Bimba y Lola. </font><div><font size=""4""><br></font></div><div><font size=""4"">Bolsa de tela</font></div><div><font size=""4"">Color: Blanco</font></div><div><font size=""4"">Medidas: 12 cm x 17 cm</font></div></div>\n\t\t\t\t\t\t</td>\n\t</tr>\n</table><span id=""closeHtml""></span>\n<script type=""text/javascript"">\r\n\t\tvar _rfr = \'https://www.ebay.es/itm/233875580355?hash=item36741225c3%3Ag%3A0DEAAOSwMmNgEuqX&LH_BIN=1\';\r\n\t</script>\r\n\t<script src=""https://ir.ebaystatic.com/rs/v/1yzqmzxk3a3utciscis2t10n1uu.js"" type=""text/javascript""></script></body>']",			España,,,
